epoch: 50	 task: 0 	 category: 2 	 loss: nan 	 posloss: 156.966125 	 negloss: 8.984715 	 kldloss: 61.105171 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 60	 task: 0 	 category: 2 	 loss: nan 	 posloss: 93.734840 	 negloss: 6.004395 	 kldloss: 62.107162 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 70	 task: 0 	 category: 2 	 loss: nan 	 posloss: 59.678593 	 negloss: 4.407143 	 kldloss: 59.983700 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 80	 task: 0 	 category: 2 	 loss: nan 	 posloss: 40.272953 	 negloss: 3.774516 	 kldloss: 56.943542 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 90	 task: 0 	 category: 2 	 loss: nan 	 posloss: 30.704165 	 negloss: 3.884057 	 kldloss: 55.949005 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 100	 task: 0 	 category: 2 	 loss: nan 	 posloss: 23.594858 	 negloss: 2.544560 	 kldloss: 52.743172 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 10	 task: 0 	 category: 3 	 loss: nan 	 posloss: 1013.244690 	 negloss: 39.818634 	 kldloss: 63.534016 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 20	 task: 0 	 category: 3 	 loss: nan 	 posloss: 720.908325 	 negloss: 34.007626 	 kldloss: 63.246685 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 30	 task: 0 	 category: 3 	 loss: nan 	 posloss: 535.982971 	 negloss: 24.925392 	 kldloss: 66.116592 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 40	 task: 0 	 category: 3 	 loss: nan 	 posloss: 399.210144 	 negloss: 17.933434 	 kldloss: 73.724030 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 50	 task: 0 	 category: 3 	 loss: nan 	 posloss: 246.124298 	 negloss: 10.727171 	 kldloss: 79.381935 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 60	 task: 0 	 category: 3 	 loss: nan 	 posloss: 148.256866 	 negloss: 8.695858 	 kldloss: 81.777092 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 70	 task: 0 	 category: 3 	 loss: nan 	 posloss: 95.407608 	 negloss: 6.168712 	 kldloss: 80.291092 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 80	 task: 0 	 category: 3 	 loss: nan 	 posloss: 56.159969 	 negloss: 5.604687 	 kldloss: 77.425682 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 90	 task: 0 	 category: 3 	 loss: nan 	 posloss: 40.485283 	 negloss: 3.033971 	 kldloss: 73.282829 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 100	 task: 0 	 category: 3 	 loss: nan 	 posloss: 43.327129 	 negloss: 3.508824 	 kldloss: 68.552490 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 10	 task: 0 	 category: 4 	 loss: nan 	 posloss: 970.703369 	 negloss: 45.268318 	 kldloss: 55.992401 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 20	 task: 0 	 category: 4 	 loss: nan 	 posloss: 702.581421 	 negloss: 44.519447 	 kldloss: 58.004044 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 30	 task: 0 	 category: 4 	 loss: nan 	 posloss: 486.528198 	 negloss: 37.491379 	 kldloss: 62.722206 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 40	 task: 0 	 category: 4 	 loss: nan 	 posloss: 348.188263 	 negloss: 24.763563 	 kldloss: 67.450035 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 50	 task: 0 	 category: 4 	 loss: nan 	 posloss: 249.626144 	 negloss: 18.894087 	 kldloss: 72.435005 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 60	 task: 0 	 category: 4 	 loss: nan 	 posloss: 163.305710 	 negloss: 8.848655 	 kldloss: 73.120697 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 70	 task: 0 	 category: 4 	 loss: nan 	 posloss: 102.601021 	 negloss: 7.851285 	 kldloss: 71.772659 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 80	 task: 0 	 category: 4 	 loss: nan 	 posloss: 73.332619 	 negloss: 6.183163 	 kldloss: 71.070343 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 90	 task: 0 	 category: 4 	 loss: nan 	 posloss: 61.903503 	 negloss: 7.357588 	 kldloss: 66.582710 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 100	 task: 0 	 category: 4 	 loss: nan 	 posloss: 44.409088 	 negloss: 3.627969 	 kldloss: 62.533379 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 10	 task: 0 	 category: 5 	 loss: nan 	 posloss: 598.978333 	 negloss: 45.976265 	 kldloss: 46.961082 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 20	 task: 0 	 category: 5 	 loss: nan 	 posloss: 425.913635 	 negloss: 41.140079 	 kldloss: 48.888172 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 30	 task: 0 	 category: 5 	 loss: nan 	 posloss: 266.784149 	 negloss: 22.425089 	 kldloss: 55.382275 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 40	 task: 0 	 category: 5 	 loss: nan 	 posloss: 185.620941 	 negloss: 14.085711 	 kldloss: 57.365517 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 50	 task: 0 	 category: 5 	 loss: nan 	 posloss: 121.947701 	 negloss: 8.282221 	 kldloss: 58.847324 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 60	 task: 0 	 category: 5 	 loss: nan 	 posloss: 66.621078 	 negloss: 5.735979 	 kldloss: 56.726940 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 70	 task: 0 	 category: 5 	 loss: nan 	 posloss: 42.302879 	 negloss: 2.476213 	 kldloss: 52.406403 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 80	 task: 0 	 category: 5 	 loss: nan 	 posloss: 32.455399 	 negloss: 3.484634 	 kldloss: 50.685211 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 90	 task: 0 	 category: 5 	 loss: nan 	 posloss: 27.812454 	 negloss: 3.139056 	 kldloss: 48.919559 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 100	 task: 0 	 category: 5 	 loss: nan 	 posloss: 26.372341 	 negloss: 2.742306 	 kldloss: 45.886852 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 10	 task: 0 	 category: 6 	 loss: nan 	 posloss: 875.491821 	 negloss: 22.874893 	 kldloss: 67.266251 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 20	 task: 0 	 category: 6 	 loss: nan 	 posloss: 564.913513 	 negloss: 19.064009 	 kldloss: 73.705490 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 30	 task: 0 	 category: 6 	 loss: nan 	 posloss: 361.427795 	 negloss: 13.699531 	 kldloss: 78.880997 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 40	 task: 0 	 category: 6 	 loss: nan 	 posloss: 230.601364 	 negloss: 9.630546 	 kldloss: 83.609123 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 50	 task: 0 	 category: 6 	 loss: nan 	 posloss: 127.860741 	 negloss: 5.758177 	 kldloss: 83.808029 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 60	 task: 0 	 category: 6 	 loss: nan 	 posloss: 68.644257 	 negloss: 3.413028 	 kldloss: 80.339828 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 70	 task: 0 	 category: 6 	 loss: nan 	 posloss: 49.965088 	 negloss: 4.610932 	 kldloss: 75.789764 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 80	 task: 0 	 category: 6 	 loss: nan 	 posloss: 31.446201 	 negloss: 2.131456 	 kldloss: 71.850189 	 maxloss: 0.000000 	 pseudoloss: nan
epoch: 90	 task: 0 	 category: 6 	 loss: nan 	 posloss: 29.643564 	 negloss: 2.852247 	 kldloss: 67.328415 	 maxloss: 0.000000 	 pseudoloss: nan
